             SkyHua Virtual           
 菜品            价格         数量        小计
 麻婆豆腐            35.00         -497318800        -17406158000.00
 酸辣土豆丝            20.00         -497318799        -9946375980.00
 番茄菜花            25.00         -497318800        -12432970000.00
 红烧茄子            24.00         -497318800        -11935651200.00
 虎皮青椒            23.00         -497318800        -11438332400.00
 地三鲜            30.00         -497318800        -14919564000.00
 荷塘小炒            28.00         -497318800        -13924926400.00
 虾球娃娃菜            28.00         -497318800        -13924926400.00
 杭椒掌中宝            41.00         -497318800        -20390070800.00
 红烧肉            45.00         -497318800        -22379346000.00
 糖醋排骨            40.00         -497318799        -19892751960.00
 臭鳜鱼            68.00         -497318800        -33817678400.00
 糖醋鱼            60.00         -497318800        -29839128000.00
 鱼香肉丝            38.00         -497318800        -18898114400.00
 肉末蒸蛋            30.00         -497318800        -14919564000.00
 北京烤鸭            50.00         -497318800        -24865940000.00
 地锅鸡            78.00         -497318800        -38790866400.00
 铁板鱿鱼            36.00         -497318800        -17903476800.00
 蒜蓉虾            56.00         -497318800        -27849852800.00
 爆炒鹅肝            58.00         -497318800        -28844490400.00
 辣白菜            8.00         -497318800        -3978550400.00
 皮蛋拌豆腐            10.00         -497318800        -4973188000.00
 凉拌海带丝            8.00         -497318800        -3978550400.00
 米饭            2.00         -497318800        -994637600.00
 扬州炒饭            8.00         -497318800        -3978550400.00
 蛋炒河粉            8.00         -497318800        -3978550400.00
 莲子百合红豆沙            16.00         -497318800        -7957100800.00
 双皮奶            8.00         -497318800        -3978550400.00
 银耳羹            8.00         -497318800        -3978550400.00
 葡式蛋挞            10.00         -497318800        -4973188000.00
 听装可乐            4.00         -497318800        -1989275200.00
 听装王老吉            4.00         -497318799        -1989275196.00
 椰汁            10.00         -497318800        -4973188000.00
 鲜榨玉米汁            8.00         -497318800        -3978550400.00
 听装雪花啤酒            5.00         -497318800        -2486594000.00
 牛奶            5.00         -497318800        -2486594000.00
合计金额 ：              64.00元
实收：   64.00元
找零：   0.00元
              请收好小票，钱物及时核对
